"Device alias","Role","OS family","Connection type","Potential log availability"
"Gateway-01","ISP gateway; IP passthrough","Gateway firmware","Ethernet","Available (recorded)"
"Router-01","LAN router; DHCP; Wi-Fi","Router firmware","Ethernet","Available (recorded)"
"Phone-01","Mobile device","iOS","Wi-Fi 5 GHz","Limited (recorded)"
"TV-01","Streaming device","Roku OS","Wi-Fi 2.4 GHz","Limited (recorded)"
"Workstation-01","Primary workstation","Windows","Ethernet","Available (recorded)"
"Phone-02","Mobile device","iOS","Wi-Fi 5 GHz","Limited (recorded)"
"Tablet-01","Tablet","iPadOS","Wi-Fi 5 GHz","Limited (recorded)"
"Tablet-02","Tablet","iPadOS","Wi-Fi 5 GHz","Limited (recorded)"
"Phone-03","Mobile device","iOS","Wi-Fi 5 GHz","Limited (recorded)"
"TV-02","Streaming device","Smart TV OS","Wi-Fi 2.4 GHz","Limited (recorded)"
"Phone-04","Mobile device","iOS","Wi-Fi 5 GHz","Limited (recorded)"
"Tablet-03","Tablet","Android","Wi-Fi 5 GHz","Limited (recorded)"
"Phone-05","Mobile device","iOS","Wi-Fi 5 GHz","Limited (recorded)"
"Phone-06","Mobile device","iOS","Wi-Fi 5 GHz","Limited (recorded)"
"Laptop-02","General web use","Linux Mint","Wi-Fi 5 GHz","Available (recorded)"
"Laptop-01","Web and monitoring role","Ubuntu","Wi-Fi 5 GHz","Available (recorded)"
"TV-03","Streaming device","Roku OS","Wi-Fi 5 GHz","Limited (recorded)"
